task_id,project_id,project_domain,project_status,project_budget,project_start_days_ago,assignee_id,assignee_role,assignee_experience,assignee_availability,assignee_cost_rate,assignee_recent_hours,assignee_utilization,task_type,priority,complexity_score,status,progress_percentage,estimated_effort_hours,estimated_duration_days,num_dependencies,dependency_depth,num_risks,max_risk_severity,max_risk_severity_ord,avg_risk_probability,risk_level,actual_effort_hours,actual_duration_days,is_delayed,delay_days,effort_overrun_ratio
1618,79,Cybersecurity,Completed,201000,1015,135,Developer,1.2,0.89,91.15,38.2,0.486,Bug Fixing,Critical,9.1,Completed,100,54.6,7,0,0,0,None,0,0,Low,85.1,9,1,2,0.559
1619,79,Cybersecurity,Completed,201000,1015,90,Project Manager,0.5,0.81,112.8,42,0.486,Database Design,Medium,8.1,Completed,100,19,2,1,1,0,None,0,0,Low,24.2,2,0,0,0.274
1620,79,Cybersecurity,Completed,201000,1015,107,Developer,3.5,0.51,101.59,64,0.466,Bug Fixing,Medium,3.6,Completed,100,29.3,4,2,2,1,2046,2,0.12,Medium,41.3,5,1,1,0.41
1621,79,Cybersecurity,Completed,201000,1015,11,Developer,1.5,0.84,90.28,53,0.636,Testing & QA,Medium,2.9,Completed,100,77.4,5,3,3,1,2047,2,0.8,Medium,97.5,5,0,0,0.26
1622,79,Cybersecurity,Completed,201000,1015,88,Developer,0.5,0.91,84.69,32.6,0.424,Performance Optimization,Medium,8.1,Completed,100,34.9,4,3,4,0,None,0,0,Low,36.5,4,0,0,0.046
1623,79,Cybersecurity,Completed,201000,1015,111,Project Manager,3.7,0.54,137.05,43.6,0.336,Research,High,9.1,Completed,100,139.8,22,2,2,2,2049,4,0.67,Critical,154.9,22,0,0,0.108
1624,79,Cybersecurity,Completed,201000,1015,89,Senior Developer,6.2,0.88,135.91,29.6,0.372,Deployment,Medium,9.3,Completed,100,20.8,3,1,2,0,None,0,0,Low,18.7,3,0,0,0
1625,79,Cybersecurity,Completed,201000,1015,3,QA Engineer,6.9,0.51,117.71,25.8,0.188,Testing & QA,Low,1.4,Completed,100,30.6,4,1,3,1,2052,2,0.56,Medium,27,3,0,0,0
1626,79,Cybersecurity,Completed,201000,1015,38,Developer,2.4,0.56,92.11,68.7,0.55,Documentation,Critical,4.1,Completed,100,28.3,4,1,4,0,None,0,0,Low,39.3,6,1,2,0.389
1627,79,Cybersecurity,Completed,201000,1015,134,Developer,0.5,0.99,91.54,66.2,0.936,Documentation,High,3.9,Completed,100,200,43,3,5,0,None,0,0,Low,233.4,57,1,14,0.167
1628,79,Cybersecurity,Completed,201000,1015,42,DevOps Engineer,2.9,0.8,120.29,32.3,0.369,Testing & QA,High,9.9,Completed,100,50.2,1,0,0,1,2055,2,0.74,Medium,76.5,1,0,0,0.524
1629,79,Cybersecurity,Completed,201000,1015,17,Senior Developer,2.3,0.91,119.14,37.4,0.486,Testing & QA,Medium,4.2,Completed,100,19.1,2,3,6,0,None,0,0,Low,20.7,1,0,0,0.084
1630,79,Cybersecurity,Completed,201000,1015,117,Developer,2.9,0.69,102.71,20.8,0.205,Deployment,Medium,6.2,Completed,100,23.6,2,3,5,1,2057,2,0.15,Medium,20.1,2,0,0,0
1631,79,Cybersecurity,Completed,201000,1015,32,Senior Developer,4.7,0.64,126.65,47.4,0.433,Backend Development,Medium,9.6,Completed,100,125.9,23,0,0,0,None,0,0,Low,188.7,26,1,3,0.499
1632,79,Cybersecurity,Completed,201000,1015,2,Senior Developer,5.7,0.58,131.62,24.5,0.203,Backend Development,Medium,10,Completed,100,96,22,3,4,0,None,0,0,Low,119.1,32,1,10,0.241
1633,79,Cybersecurity,Completed,201000,1015,1,Developer,4.2,0.87,104.88,47.9,0.595,UI/UX Design,Medium,6.2,Completed,100,19.7,2,1,4,0,None,0,0,Low,27.2,2,0,0,0.381
1634,79,Cybersecurity,Completed,201000,1015,90,Project Manager,0.5,0.81,112.8,42,0.486,Backend Development,Medium,9.1,Completed,100,140.1,18,0,0,0,None,0,0,Low,115.7,18,0,0,0
1635,79,Cybersecurity,Completed,201000,1015,129,Project Manager,0.9,0.57,131.96,52.4,0.427,Bug Fixing,Medium,5.8,Completed,100,17.2,4,2,5,0,None,0,0,Low,16.4,4,0,0,0
1636,80,HR Platform,In Progress,1058000,954,109,QA Engineer,7,0.73,108.99,54.5,0.568,Deployment,High,3.4,Blocked,38.2,33.7,1,0,0,2,2063,2,0.565,Medium,12.8,0,0,0,0
1637,80,HR Platform,In Progress,1058000,954,67,Senior Developer,3.8,0.99,128.1,69.9,0.989,UI/UX Design,Critical,6.9,In Progress,31,11.3,3,1,1,1,2065,3,0.53,High,4.7,0,0,0,0
1638,80,HR Platform,In Progress,1058000,954,45,Project Manager,5.9,0.62,162.49,29,0.257,Bug Fixing,Medium,4,Not Started,0,28.1,5,1,2,1,2066,2,0.54,Medium,0,0,0,0,0
1639,80,HR Platform,In Progress,1058000,954,149,Senior Developer,4.1,0.99,145.44,63.2,0.894,Performance Optimization,Medium,9.1,Not Started,0,84.6,13,3,3,0,None,0,0,Low,0,0,0,0,0
1640,80,HR Platform,In Progress,1058000,954,65,Developer,5.4,0.83,109.42,32.9,0.39,Database Design,High,4.1,Completed,100,10.2,1,0,0,0,None,0,0,Low,10.4,1,0,0,0.02
1641,80,HR Platform,In Progress,1058000,954,78,Developer,3.4,0.57,99.81,27.5,0.224,Database Design,Medium,2.1,Completed,100,117.9,22,1,1,1,2069,3,0.8,High,143.1,25,1,3,0.214
1642,80,HR Platform,In Progress,1058000,954,140,QA Engineer,0.9,0.98,81.51,65.3,0.914,Testing & QA,Low,1.7,Blocked,29.3,19.6,1,3,4,2,2070,2,0.32,Medium,5.2,0,0,0,0
1643,80,HR Platform,In Progress,1058000,954,25,UI/UX Designer,5,0.94,111.87,26.9,0.361,Database Design,Medium,8.8,Blocked,22.3,13.8,1,3,4,0,None,0,0,Low,3.2,0,0,0,0
1644,80,HR Platform,In Progress,1058000,954,129,Project Manager,0.9,0.57,131.96,52.4,0.427,Database Design,Medium,2.7,Not Started,0,3.3,1,3,5,1,2073,2,0.7,Medium,0,0,0,0,0
1645,80,HR Platform,In Progress,1058000,954,120,Developer,5.7,0.55,118.02,49.7,0.391,Bug Fixing,High,1.9,Not Started,0,16.8,3,2,3,1,2074,4,0.47,Critical,0,0,0,0,0
1646,80,HR Platform,In Progress,1058000,954,106,DevOps Engineer,0.5,0.83,100.37,32.6,0.387,DevOps Setup,Medium,5.3,Blocked,20.7,15,1,2,2,1,2075,2,0.37,Medium,3.4,0,0,0,0
1647,80,HR Platform,In Progress,1058000,954,108,Senior Developer,4.5,0.97,136.78,38.8,0.538,Documentation,Low,7.4,In Progress,31.9,199.3,54,3,6,0,None,0,0,Low,61.1,17,0,0,0
1648,80,HR Platform,In Progress,1058000,954,63,Developer,0.5,0.86,82.55,56.6,0.695,Frontend Development,High,9.9,Not Started,0,3.8,1,1,3,1,2077,1,0.66,Low,0,0,0,0,0
1649,81,Education,Completed,105000,1243,118,Senior Developer,6.3,0.67,157.11,24.2,0.232,Deployment,High,2.9,Completed,100,9.9,2,0,0,0,None,0,0,Low,12,2,0,0,0.212
1650,81,Education,Completed,105000,1243,15,Developer,4.8,0.54,98.99,42,0.324,Research,Low,2,Completed,100,72.4,23,0,0,0,None,0,0,Low,86.6,24,1,1,0.196
1651,81,Education,Completed,105000,1243,28,Senior Developer,9.8,0.76,161.52,39.3,0.427,Testing & QA,High,3.3,Completed,100,37,12,1,1,1,2080,3,0.18,High,31.1,10,0,0,0
1652,81,Education,Completed,105000,1243,75,Developer,1.9,0.58,94.13,51.2,0.424,DevOps Setup,Medium,9.9,Completed,100,10,1,2,2,0,None,0,0,Low,10.1,0,0,0,0.01
1653,81,Education,Completed,105000,1243,85,Developer,1.1,0.79,81.35,50.1,0.565,Performance Optimization,Medium,7.1,Completed,100,14.1,3,0,0,0,None,0,0,Low,14.2,3,0,0,0.007
1654,81,Education,Completed,105000,1243,150,Developer,3.4,0.85,100.17,67.4,0.818,Research,Low,7,Completed,100,39.4,9,3,2,0,None,0,0,Low,55.5,13,1,4,0.409
1655,81,Education,Completed,105000,1243,14,UI/UX Designer,0.5,0.77,86.44,39.4,0.433,Data Migration,Medium,6.8,Completed,100,102,2,1,1,0,None,0,0,Low,140,1,0,0,0.373
1656,81,Education,Completed,105000,1243,37,Developer,3,0.71,92.32,58.5,0.593,Code Review,Medium,3,Completed,100,200,51,1,1,1,2085,2,0.81,Medium,226.8,50,0,0,0.134
1657,81,Education,Completed,105000,1243,127,Developer,3,0.53,98.72,31.1,0.235,Security Review,High,4.3,Completed,100,29.9,2,2,3,2,2086,3,0.43,High,36.4,3,1,1,0.217
1658,81,Education,Completed,105000,1243,40,Developer,4,0.68,111.62,47.9,0.465,Database Design,Medium,1.5,Completed,100,20.9,4,1,4,2,2088,3,0.345,High,17.2,3,0,0,0
1659,81,Education,Completed,105000,1243,2,Senior Developer,5.7,0.58,131.62,24.5,0.203,Testing & QA,High,3.2,Completed,100,16.5,2,1,5,1,2090,1,0.65,Low,19.8,2,0,0,0.2
1660,81,Education,Completed,105000,1243,52,UI/UX Designer,4.2,0.97,101.01,34.8,0.482,Deployment,Medium,9.3,Completed,100,20.3,2,3,5,1,2091,1,0.7,Low,25.6,2,0,0,0.261
1661,81,Education,Completed,105000,1243,40,Developer,4,0.68,111.62,47.9,0.465,Frontend Development,Low,3.6,Completed,100,120.2,25,3,6,1,2092,3,0.46,High,124.7,38,1,13,0.037
1662,81,Education,Completed,105000,1243,134,Developer,0.5,0.99,91.54,66.2,0.936,Performance Optimization,High,7.9,Completed,100,62,17,2,7,0,None,0,0,Low,90.8,21,1,4,0.465
1663,81,Education,Completed,105000,1243,27,Data Engineer,3.9,0.89,119.35,47.7,0.606,Frontend Development,Medium,1.8,Completed,100,25.7,7,2,8,0,None,0,0,Low,23.7,6,0,0,0
1664,81,Education,Completed,105000,1243,130,Senior Developer,5.2,0.81,127.54,40.9,0.473,Documentation,Low,7,Completed,100,56.5,13,0,0,0,None,0,0,Low,84,12,0,0,0.487
1665,81,Education,Completed,105000,1243,32,Senior Developer,4.7,0.64,126.65,47.4,0.433,Documentation,Medium,8.9,Completed,100,43.4,9,0,0,1,2096,2,0.41,Medium,57.7,11,1,2,0.329
1666,81,Education,Completed,105000,1243,48,Senior Developer,11.5,0.66,162.39,27.3,0.257,Testing & QA,Medium,4.2,Completed,100,22.2,3,3,6,1,2097,2,0.86,Medium,30.1,4,1,1,0.356
1667,81,Education,Completed,105000,1243,140,QA Engineer,0.9,0.98,81.51,65.3,0.914,Research,Medium,1.7,Completed,100,9.5,1,1,8,0,None,0,0,Low,7.7,1,0,0,0
1668,81,Education,Completed,105000,1243,113,Developer,1.5,0.56,94.97,22,0.176,Testing & QA,High,6.6,Completed,100,48,1,3,6,1,2099,2,0.62,Medium,74.1,1,0,0,0.544
1669,82,IoT,Completed,51000,882,75,Developer,1.9,0.58,94.13,51.2,0.424,API Integration,Medium,8.7,Completed,100,200,16,0,0,3,2102,3,0.55,High,228.7,16,0,0,0.143
1670,82,IoT,Completed,51000,882,127,Developer,3,0.53,98.72,31.1,0.235,Testing & QA,High,3.2,Completed,100,16.3,3,1,1,1,2103,4,0.5,Critical,17.4,3,0,0,0.067
1671,82,IoT,Completed,51000,882,101,UI/UX Designer,4.1,0.74,99.73,37.9,0.401,DevOps Setup,High,2.1,Completed,100,20.5,3,0,0,3,2104,3,0.507,High,24.6,3,0,0,0.2
1672,82,IoT,Completed,51000,882,28,Senior Developer,9.8,0.76,161.52,39.3,0.427,UI/UX Design,High,1.6,Completed,100,13.9,2,3,2,0,None,0,0,Low,21.9,2,0,0,0.576
1673,82,IoT,Completed,51000,882,109,QA Engineer,7,0.73,108.99,54.5,0.568,Documentation,Medium,8,Completed,100,113.6,26,2,3,0,None,0,0,Low,128.9,31,1,5,0.135
1674,82,IoT,Completed,51000,882,118,Senior Developer,6.3,0.67,157.11,24.2,0.232,Database Design,Low,9.3,Completed,100,7.1,1,2,2,0,None,0,0,Low,10.2,1,0,0,0.437
1675,82,IoT,Completed,51000,882,3,QA Engineer,6.9,0.51,117.71,25.8,0.188,Frontend Development,Medium,8.4,Completed,100,71.1,9,3,4,2,2110,2,0.36,Medium,68.4,8,0,0,0
1676,82,IoT,Completed,51000,882,114,Developer,5.1,0.81,114.73,65.6,0.759,Performance Optimization,Medium,3.1,Completed,100,32,4,2,3,2,2112,2,0.475,Medium,41.1,5,1,1,0.284
1677,82,IoT,Completed,51000,882,91,DevOps Engineer,3.1,0.77,124.61,20.8,0.229,Backend Development,Critical,8.1,Completed,100,7.9,1,1,1,1,2114,2,0.46,Medium,9.8,0,0,0,0.241
1678,82,IoT,Completed,51000,882,118,Senior Developer,6.3,0.67,157.11,24.2,0.232,Database Design,Medium,9.3,Completed,100,64.7,8,0,0,2,2116,3,0.8,High,89.2,9,1,1,0.379
1679,82,IoT,Completed,51000,882,41,Project Manager,0.5,0.64,111.61,28.2,0.258,Testing & QA,Low,7.5,Completed,100,51.6,1,1,1,0,None,0,0,Low,77.2,0,0,0,0.496
1680,82,IoT,Completed,51000,882,129,Project Manager,0.9,0.57,131.96,52.4,0.427,DevOps Setup,Medium,8.5,Completed,100,37.7,5,3,3,1,2118,2,0.8,Medium,52.5,6,1,1,0.393
1681,82,IoT,Completed,51000,882,135,Developer,1.2,0.89,91.15,38.2,0.486,API Integration,Medium,9.2,Completed,100,33.7,7,0,0,0,None,0,0,Low,49.8,10,1,3,0.478
1682,82,IoT,Completed,51000,882,45,Project Manager,5.9,0.62,162.49,29,0.257,UI/UX Design,Medium,5.9,Completed,100,10.2,1,0,0,1,2120,2,0.43,Medium,11.4,1,0,0,0.118
1683,82,IoT,Completed,51000,882,145,Developer,6.6,0.73,115.93,30.5,0.318,Data Migration,Low,7.8,Completed,100,24,3,0,0,1,2121,3,0.47,High,20.8,3,0,0,0
1684,83,SaaS,Completed,106000,1247,149,Senior Developer,4.1,0.99,145.44,63.2,0.894,Database Design,High,5,Completed,100,6,1,0,0,0,None,0,0,Low,9.1,1,0,0,0.517
1685,83,SaaS,Completed,106000,1247,104,Senior Developer,2.9,0.82,114.5,44.7,0.524,DevOps Setup,Medium,4.5,Completed,100,29.1,2,0,0,0,None,0,0,Low,35.3,2,0,0,0.213
1686,83,SaaS,Completed,106000,1247,41,Project Manager,0.5,0.64,111.61,28.2,0.258,Frontend Development,Low,9.5,Completed,100,36.4,7,0,0,1,2124,2,0.75,Medium,31.7,7,0,0,0
1687,83,SaaS,Completed,106000,1247,28,Senior Developer,9.8,0.76,161.52,39.3,0.427,API Integration,Low,9.4,Completed,100,15.9,2,2,1,3,2126,3,0.557,High,16.2,2,0,0,0.019
1688,83,SaaS,Completed,106000,1247,122,QA Engineer,3.1,0.69,83.36,66.6,0.656,Documentation,Critical,8,Completed,100,80.5,12,0,0,0,None,0,0,Low,106.3,18,1,6,0.32
1689,83,SaaS,Completed,106000,1247,61,Senior Developer,6.7,0.5,136.89,59.3,0.424,DevOps Setup,High,9.8,Completed,100,25.8,3,2,2,2,2130,3,0.835,High,43,3,0,0,0.667
1690,83,SaaS,Completed,106000,1247,45,Project Manager,5.9,0.62,162.49,29,0.257,Frontend Development,High,6.6,Completed,100,119.7,15,2,2,0,None,0,0,Low,104.6,22,1,7,0
1691,83,SaaS,Completed,106000,1247,108,Senior Developer,4.5,0.97,136.78,38.8,0.538,Code Review,High,6.2,Completed,100,59.4,9,3,3,3,2132,2,0.52,Medium,88.6,14,1,5,0.492
1692,83,SaaS,Completed,106000,1247,65,Developer,5.4,0.83,109.42,32.9,0.39,Bug Fixing,Low,3.8,Completed,100,14.4,1,1,1,2,2136,2,0.425,Medium,16.6,1,0,0,0.153
1693,83,SaaS,Completed,106000,1247,19,QA Engineer,3.8,0.54,104.47,62.5,0.482,Frontend Development,Low,8.9,Completed,100,200,37,1,1,1,2137,4,0.92,Critical,236.1,39,1,2,0.18
1694,83,SaaS,Completed,106000,1247,8,Senior Developer,6.8,0.73,155.81,24.2,0.252,Documentation,High,2.9,Completed,100,200,36,1,1,2,2139,2,0.635,Medium,278.6,41,1,5,0.393
1695,83,SaaS,Completed,106000,1247,28,Senior Developer,9.8,0.76,161.52,39.3,0.427,Bug Fixing,Low,1.9,Completed,100,131.9,40,0,0,1,2140,1,0.18,Low,142.1,63,1,23,0.077
1696,83,SaaS,Completed,106000,1247,35,Project Manager,1.2,0.61,125.35,60,0.523,Code Review,Medium,3.5,Completed,100,21.6,2,1,3,0,None,0,0,Low,22.3,2,0,0,0.032
1697,83,SaaS,Completed,106000,1247,52,UI/UX Designer,4.2,0.97,101.01,34.8,0.482,Data Migration,Medium,5.6,Completed,100,53,12,3,2,3,2142,4,0.4,Critical,72.5,14,1,2,0.368
1698,83,SaaS,Completed,106000,1247,113,Developer,1.5,0.56,94.97,22,0.176,API Integration,Medium,9.6,Completed,100,89.5,16,1,3,1,2145,4,0.34,Critical,121.3,20,1,4,0.355
1699,83,SaaS,Completed,106000,1247,52,UI/UX Designer,4.2,0.97,101.01,34.8,0.482,Data Migration,Medium,4.9,Completed,100,9.7,2,0,0,1,2146,2,0.33,Medium,10,3,1,1,0.031
1700,83,SaaS,Completed,106000,1247,136,Developer,2.5,0.71,103.4,41.1,0.417,Code Review,Low,5.2,Completed,100,42,5,2,4,2,2147,2,0.38,Medium,45.8,5,0,0,0.09
1701,83,SaaS,Completed,106000,1247,23,Developer,3.8,0.67,92.32,37.4,0.358,Deployment,High,8.9,Completed,100,89.6,14,3,3,1,2149,2,0.87,Medium,83.9,17,1,3,0
1702,83,SaaS,Completed,106000,1247,25,UI/UX Designer,5,0.94,111.87,26.9,0.361,Performance Optimization,Low,6.6,Completed,100,60.8,12,3,5,0,None,0,0,Low,50.8,12,0,0,0
1703,83,SaaS,Completed,106000,1247,36,Developer,2.2,0.91,101.16,69.4,0.902,API Integration,Low,6.6,Completed,100,193.9,29,2,3,2,2151,4,0.765,Critical,232,38,1,9,0.196
1704,83,SaaS,Completed,106000,1247,105,Senior Developer,9.6,0.75,174.41,21.2,0.227,Bug Fixing,Low,3.2,Completed,100,20.4,1,3,4,0,None,0,0,Low,18.3,1,0,0,0
1705,83,SaaS,Completed,106000,1247,19,QA Engineer,3.8,0.54,104.47,62.5,0.482,Performance Optimization,Medium,2.6,Completed,100,51.7,3,0,0,1,2154,3,0.87,High,73,4,1,1,0.412
1706,83,SaaS,Completed,106000,1247,136,Developer,2.5,0.71,103.4,41.1,0.417,DevOps Setup,Low,3.4,Completed,100,56.3,4,1,2,2,2155,2,0.51,Medium,83.6,5,1,1,0.485
1707,83,SaaS,Completed,106000,1247,54,Project Manager,2.2,0.63,137.46,26.3,0.237,Documentation,Low,7.8,Completed,100,200,47,2,4,1,2157,2,0.98,Medium,201.6,56,1,9,0.008
1708,83,SaaS,Completed,106000,1247,129,Project Manager,0.9,0.57,131.96,52.4,0.427,Performance Optimization,High,7.5,Completed,100,18.9,3,2,6,1,2158,3,0.84,High,21.5,4,1,1,0.138
1709,83,SaaS,Completed,106000,1247,144,Developer,3,0.98,98.2,64.3,0.9,DevOps Setup,Medium,8.2,Completed,100,32.4,5,0,0,3,2160,2,0.657,Medium,43.8,7,1,2,0.352
1710,84,Healthcare,Completed,53000,641,85,Developer,1.1,0.79,81.35,50.1,0.565,Backend Development,High,6.4,Completed,100,15.6,1,0,0,0,None,0,0,Low,26.3,1,0,0,0.686
1711,84,Healthcare,Completed,53000,641,75,Developer,1.9,0.58,94.13,51.2,0.424,Backend Development,Medium,6.5,Completed,100,19.8,6,0,0,2,2163,4,0.865,Critical,19.6,6,0,0,0
1712,84,Healthcare,Completed,53000,641,100,Senior Developer,8.6,0.68,165.41,31.6,0.307,Bug Fixing,High,6.5,Completed,100,143.4,15,1,1,1,2165,4,0.57,Critical,136.3,22,1,7,0
1713,84,Healthcare,Completed,53000,641,41,Project Manager,0.5,0.64,111.61,28.2,0.258,Code Review,Medium,2.6,Completed,100,37,6,0,0,0,None,0,0,Low,41.9,8,1,2,0.132
1714,84,Healthcare,Completed,53000,641,148,DevOps Engineer,1,0.73,107.02,27.8,0.29,Testing & QA,Low,4.9,Completed,100,21.1,2,2,2,1,2167,1,0.34,Low,24.1,1,0,0,0.142
1715,84,Healthcare,Completed,53000,641,129,Project Manager,0.9,0.57,131.96,52.4,0.427,API Integration,High,3.7,Completed,100,101.4,31,1,1,1,2168,4,0.23,Critical,86.9,29,0,0,0
1716,84,Healthcare,Completed,53000,641,15,Developer,4.8,0.54,98.99,42,0.324,Testing & QA,Medium,6.7,Completed,100,21.2,1,3,2,2,2170,4,0.485,Critical,25.1,1,0,0,0.184
1717,84,Healthcare,Completed,53000,641,29,Senior Developer,6.2,0.66,144.35,48.6,0.458,Security Review,High,8.7,Completed,100,131.5,4,3,3,0,None,0,0,Low,184,5,1,1,0.399
1718,84,Healthcare,Completed,53000,641,68,Senior Developer,4,0.95,135.46,48.1,0.653,Performance Optimization,Medium,1.4,Completed,100,94.8,13,3,4,2,2172,2,0.27,Medium,141.4,17,1,4,0.492
1719,84,Healthcare,Completed,53000,641,87,Senior Developer,7.7,0.52,138.25,58.3,0.433,Data Migration,Low,6.4,Completed,100,27.3,4,2,3,0,None,0,0,Low,31.1,3,0,0,0.139
1720,84,Healthcare,Completed,53000,641,86,UI/UX Designer,2.4,0.73,101.66,44.3,0.462,UI/UX Design,Medium,5.9,Completed,100,65.6,9,0,0,1,2175,4,0.13,Critical,71.5,8,0,0,0.09
1721,84,Healthcare,Completed,53000,641,36,Developer,2.2,0.91,101.16,69.4,0.902,Bug Fixing,High,6.5,Completed,100,109.9,27,1,5,2,2176,3,0.505,High,138.5,32,1,5,0.26
1722,84,Healthcare,Completed,53000,641,85,Developer,1.1,0.79,81.35,50.1,0.565,API Integration,Medium,5,Completed,100,4.3,1,2,2,0,None,0,0,Low,5.9,1,0,0,0.372
1723,84,Healthcare,Completed,53000,641,16,Senior Developer,6.4,0.52,140.13,60.9,0.452,Bug Fixing,High,3.8,Completed,100,112,7,0,0,1,2179,3,0.9,High,169.1,6,0,0,0.51
1724,84,Healthcare,Completed,53000,641,145,Developer,6.6,0.73,115.93,30.5,0.318,API Integration,Medium,4.2,Completed,100,41.2,9,1,4,1,2180,3,0.29,High,39.7,11,1,2,0
1725,84,Healthcare,Completed,53000,641,10,Senior Developer,2.4,0.8,115.08,32.3,0.369,Bug Fixing,High,9.8,Completed,100,45.2,7,2,4,1,2181,2,0.78,Medium,60.4,8,1,1,0.336
1726,85,HR Platform,Completed,465000,1246,59,Senior Developer,6.6,0.82,134.13,57.2,0.67,Testing & QA,High,1.7,Completed,100,47.6,5,0,0,2,2182,1,0.825,Low,49.9,6,1,1,0.048
1727,85,HR Platform,Completed,465000,1246,7,UI/UX Designer,0.5,0.65,89.78,60.7,0.564,Backend Development,Critical,1.7,Completed,100,25.4,1,0,0,1,2184,1,0.89,Low,35.7,1,0,0,0.406
1728,85,HR Platform,Completed,465000,1246,51,Data Engineer,0.5,0.85,100.18,63.5,0.771,Deployment,High,9.7,Completed,100,26.5,4,2,1,1,2185,3,0.41,High,37.3,6,1,2,0.408
1729,85,HR Platform,Completed,465000,1246,98,Developer,4,0.98,106.85,20.1,0.281,Security Review,High,9.7,Completed,100,5.6,1,1,1,0,None,0,0,Low,7.9,1,0,0,0.411
1730,85,HR Platform,Completed,465000,1246,5,Developer,1.8,0.65,93.11,53.8,0.5,Data Migration,High,6.4,Completed,100,25.4,7,0,0,0,None,0,0,Low,28,9,1,2,0.102
1731,85,HR Platform,Completed,465000,1246,100,Senior Developer,8.6,0.68,165.41,31.6,0.307,Security Review,Medium,1.9,Completed,100,40.5,11,1,1,0,None,0,0,Low,54.4,12,1,1,0.343
1732,85,HR Platform,Completed,465000,1246,33,DevOps Engineer,5.3,0.9,124.5,23.5,0.302,Deployment,Medium,6.5,Completed,100,18.4,2,2,2,0,None,0,0,Low,16.3,3,1,1,0
1733,85,HR Platform,Completed,465000,1246,141,Project Manager,4.7,0.61,161.93,59,0.514,UI/UX Design,High,4.5,Completed,100,20.9,1,1,2,2,2190,1,0.67,Low,30.4,1,0,0,0.455
1734,85,HR Platform,Completed,465000,1246,31,UI/UX Designer,6.7,0.61,109.98,23.9,0.208,Database Design,Low,9.9,Completed,100,143.1,20,2,3,0,None,0,0,Low,135.9,23,1,3,0
1735,85,HR Platform,Completed,465000,1246,95,Senior Developer,7.3,0.7,140.34,47.2,0.472,Bug Fixing,High,7.9,Completed,100,1.8,1,3,4,0,None,0,0,Low,1.8,0,0,0,0
1736,85,HR Platform,Completed,465000,1246,112,Senior Developer,4.4,0.92,121.4,61.7,0.811,DevOps Setup,Low,9.9,Completed,100,13.1,1,2,1,1,2194,3,0.94,High,14.8,1,0,0,0.13
1737,85,HR Platform,Completed,465000,1246,60,Developer,3.9,0.58,109.67,62.7,0.52,Bug Fixing,Low,6.4,Completed,100,5.3,1,3,2,2,2195,2,0.32,Medium,4.6,1,0,0,0
1738,85,HR Platform,Completed,465000,1246,59,Senior Developer,6.6,0.82,134.13,57.2,0.67,Frontend Development,Medium,4.1,Completed,100,108.6,19,1,3,0,None,0,0,Low,134.4,29,1,10,0.238
1739,85,HR Platform,Completed,465000,1246,138,Senior Developer,3.5,0.53,119.4,63.9,0.484,UI/UX Design,High,9.6,Completed,100,69.3,11,0,0,0,None,0,0,Low,69.7,15,1,4,0.006
1740,85,HR Platform,Completed,465000,1246,4,Project Manager,4.9,0.92,140.8,64.4,0.846,Performance Optimization,Low,3.8,Completed,100,3.9,1,0,0,0,None,0,0,Low,5,1,0,0,0.282
1741,85,HR Platform,Completed,465000,1246,15,Developer,4.8,0.54,98.99,42,0.324,Research,High,1.1,Completed,100,166.3,9,3,3,3,2202,4,0.633,Critical,281.8,10,1,1,0.695
1742,85,HR Platform,Completed,465000,1246,113,Developer,1.5,0.56,94.97,22,0.176,Frontend Development,Low,2.8,Completed,100,22.3,4,0,0,0,None,0,0,Low,30.2,5,1,1,0.354
1743,86,IoT,In Progress,104000,744,127,Developer,3,0.53,98.72,31.1,0.235,Testing & QA,Critical,9.9,Completed,100,57.1,3,0,0,1,2204,2,0.84,Medium,83.7,4,1,1,0.466
1744,86,IoT,In Progress,104000,744,57,Project Manager,3.6,0.67,137.33,56.1,0.537,Code Review,High,2.4,Not Started,0,191.2,31,0,0,2,2205,2,0.24,Medium,0,0,0,0,0
1745,86,IoT,In Progress,104000,744,142,Developer,2,0.51,102.29,64.9,0.473,Documentation,High,7,Not Started,0,8.3,1,0,0,0,None,0,0,Low,0,0,0,0,0
1746,86,IoT,In Progress,104000,744,135,Developer,1.2,0.89,91.15,38.2,0.486,Testing & QA,High,8.1,Completed,100,20.4,4,1,1,3,2209,2,0.453,Medium,18.8,4,0,0,0
1747,86,IoT,In Progress,104000,744,14,UI/UX Designer,0.5,0.77,86.44,39.4,0.433,Bug Fixing,Medium,3.9,In Progress,50.3,19.6,4,1,2,3,2213,3,0.687,High,8.9,2,0,0,0
1748,86,IoT,In Progress,104000,744,72,Senior Developer,7.2,0.96,145.72,20.4,0.28,DevOps Setup,Critical,2.3,Blocked,21.2,65.8,14,0,0,0,None,0,0,Low,17.1,2,0,0,0
1749,86,IoT,In Progress,104000,744,134,Developer,0.5,0.99,91.54,66.2,0.936,Frontend Development,Medium,6.5,Completed,100,18.5,3,3,2,0,None,0,0,Low,16.5,4,1,1,0
1750,86,IoT,In Progress,104000,744,32,Senior Developer,4.7,0.64,126.65,47.4,0.433,API Integration,Medium,8.6,Completed,100,6.6,1,2,3,0,None,0,0,Low,5.5,1,0,0,0
